Period,A Interest Due,A Interest Paid,A Interest Shortfall,A Principal Due,A Principal Paid,A Principal Shortfall,A Balance,A Cash Flow,B Interest Due,B Interest Paid,B Interest Shortfall,B Principal Due,B Principal Paid,B Principal Shortfall,B Balance,B Cash Flow,Cash Reserve
10,213809.55004804314,213809.55004804314,0.0,350451.73509707185,350451.73509707185,0.0,19385814.423183832,564261.285145115,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,341296.71260718687,
11,210012.9895844915,210012.9895844915,0.0,355285.5203304171,355285.5203304171,0.0,19030528.902853414,565298.5099149086,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,369961.3388989953,
12,206164.06311424533,206164.06311424533,0.0,360186.8446789446,360186.8446789446,0.0,18670342.05817447,566350.90779319,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,397573.56731252157,
13,202262.03896355676,202262.03896355676,0.0,365156.6636310641,365156.6636310641,0.0,18305185.394543406,567418.7025946209,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,424118.0009246189,
14,198306.17510755357,198306.17510755357,0.0,370195.946354239,370195.946354239,0.0,17934989.448189165,568502.1214617926,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,449579.01566954283,
15,194295.7190220493,194295.7190220493,0.0,375305.67589304433,375305.67589304433,0.0,17559683.77229612,569601.3949150937,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,473940.7569611666,
16,190229.907533208,190229.907533208,0.0,380486.84937010624,380486.84937010624,0.0,17179196.922926012,570716.7569033143,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,497187.13626457006,
17,186107.96666503182,186107.96666503182,0.0,385740.4781900084,385740.4781900084,0.0,16793456.444736004,571848.4448550402,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,519301.8276162473,
18,181929.11148464005,181929.11148464005,0.0,391067.5882461546,391067.5882461546,0.0,16402388.856489848,572996.6997307946,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,540268.2640921706,
19,177692.5459453067,177692.5459453067,0.0,396469.2201306789,396469.2201306789,0.0,16005919.63635917,574161.7660759856,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,560069.6342229021,
20,173397.46272722437,173397.46272722437,0.0,401946.4293474296,401946.4293474296,0.0,15603973.20701174,575343.892074654,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,578688.8783549657,
