Period,Principal,Interest,Recoveries,Total,Balance,
49,598997.35395712,103657.5504676393,8318750.90124513,702654.9044247608,6854291.955006668,
50,607316.3033115243,95338.60111323424,8230603.411582767,702654.9044247608,6246975.65169513,
51,566160.4670518419,86902.63713700122,7632758.535397478,653063.1041888446,5680815.184643297,
52,557427.7223764372,79034.02357678136,7381566.976019406,636461.7459532205,5123387.4622668605,
53,541744.7622416584,71284.90269538622,7054533.021699323,613029.6649370457,4581642.7000252055,
54,522994.81255254353,63749.62072221552,6705418.803973041,586744.43327476,4058647.887472651,
55,496159.43421375204,56466.693296626894,6283003.558314598,552626.12751038,3562488.4532589056,
56,471408.7100378569,49562.429006324805,5884131.510563302,520971.139044181,3091079.7432210445,
57,444633.87105955696,42998.815193883966,5474211.807410213,487632.68625344115,2646445.872161492,
58,405383.41750171926,36809.90892925902,4942839.0412280755,442193.3264309787,2241062.454659771,
59,367848.93576640286,31172.981253078357,4441331.4765090905,399021.9170194808,1873213.518893364,
60,334917.12986203935,26065.579569386355,3997146.399562588,360982.7094314257,1538296.3890313294,
61,289788.1676607569,21407.19691878024,3434999.8473908016,311195.3645795369,1248508.2213705727,
62,245471.69844104885,17378.529399830775,2889639.2972666975,262850.22784087947,1003036.5229295228,
63,207367.54288422756,13964.064467965178,2423867.341500285,221331.60735219248,795668.980045297,
64,182193.2314904563,11085.68141004001,2104056.511125961,193278.9129004964,613475.7485548393,
65,147422.97352490269,8551.480163925937,1692474.6035059604,155974.45368882868,466052.7750299361,
66,126179.2836011081,6500.248380971043,1432031.8358305753,132679.53198207918,339873.49142882816,
67,104595.47202394111,4747.80824495653,1174078.623182701,109343.28026889764,235278.019404887,
68,85019.41599198902,3292.104714917286,942394.6209080839,88311.52070690638,150258.6034128981,
69,62367.671996958714,2099.1463852615884,683350.1593932009,64466.8183822203,87890.93141593938,
70,52555.88084662288,1228.0413539740528,564206.1960397055,53783.92220059696,35335.05056931646,
71,35335.05056931646,491.7219660490253,375971.34679561725,35826.77253536551,0,
